Cohort Wise Data,Combine All,18+,18-,Ultra Users,Rep Set,PPI,TPAP,Both,IOS ,Android,SLS ,DM,Bubble
Overall,,,,,,,,,,,,,
Total Users,1637,259,1373,1279,58,1414,14,194,608,1398,1219,1332,1897
DAU (increase %),23.37%,8.66%,27.92%,,,,,,,,,,
DTU,20.27%,12.77%,21.82%,,,,,,,,,,
Median SPV (TS),303.9,343.6,298.3,311.8,327.9,295.7,308.8,490.5,392.4,272.1,315.8,312.4,302.2
Avg Time Spent per session ,47.7 secs,51.14 secs,47.07 secs,46.96 secs,45.3 secs,47.94,59.69,47.28,44.41,50.21,48,48.6,48.54
user scanning / total users coming to home (user wise),7.70%,16.20%,5.90%,8.20%,21.20%,5.50%,18.80%,38.10%,6.80%,62.50%,8.20%,7.20%,7.00%
avg dm session per day,2.4,3.8,2.1,2.1,2.6,2.1,1.4,2.8,2.4,2.4,2.6,2.4,2.4
avg time spent in dm per day,47.68 secs,32 secs,27 secs,29 secs,25 secs,,,,,,,,
users opening spotlight / total users coming to home,2.03%,4.07%,1.55%,1.69%,9.16%,1.45%,15.15%,12.03%,1.98%,6.14%,2.77%,2.27%,2.06%
opening the spotlight → Payment compose,50.76%,48.41%,50.94%,55.88%,42.86%,,,,,,,,
time to pay per user per pay session,53 secs,49 secs,54 secs,55 secs,44 secs,55 secs,28 secs,28 secs,33 secs,1.2 mins,56 secs,55 secs,54 secs
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Spotlight,,,,,,,,,,,,,
Daily absolute numbers for both swipe,111,21.4,88.5,85.4,3.6,90.6,0.9,19.3,28.3,83.4,111,100.6,109.6
Daily absolute numbers for both tap,217.9,36,180.6,174.5,5.4,55.8,0.7,18,16.8,57.7,74.9,69.6,73
Input entered ⇒ Clicked on contacts ⇒ Clicked on resolved VPA ⇒ Payment compose,,,,,,,,,,,,,
Avg. time from input entered → payment compose (search efficiency),9 secs,8 sec,10 sec,17 sec,1.4 min,10 sec,0 sec,7 sec,9 sec,9 sec,9 sec,9 sec,9 sec
Input entered ⇒ Clicked on contacts ⇒ Clicked on resolved VPA ⇒ Payment compose,,,,,,,,,,,,,
Paste button shown ⇒ Paste button clicked,17.04%,17.21%,17.16%,17.05%,19.23%,16.45%,0%,20.66%,28.57%,14.63%,17.04%,17.68%,16.67%
% of SS sessions where paste button was clicked (adoption),6.80%,9.30%,6.10%,6.50%,1.30%,6.80%,0%,6.60%,9.40%,5.80%,6.80%,6.70%,6.60%
% of SS sessions where number button was clicked (adoption),5.95%,6.63%,5.89%,6.01%,2.86%,5.98%,0%,6.25%,8.55%,5.06%,5.95%,6.52%,5.97%
SS open ⇒ Recents clicks,41.90%,25.40%,47.60%,45.30%,44.40%,46.40%,21.90%,28.60%,39.70%,43.00%,35.50%,42.20%,42.60%
Quick actions clicked vs In-app purchases clicked (ratio),0.49,0.38,0.5,0.51,1,0.53,1,0.26,0.43,0.51,0.49,0.49,0.48
